TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  2.2000E+01  7.0000E+00  3.4727E-01  3.5976E-02 -1.4459E+00  3.4291E-01 -1.0776E+00  4.0847E-01 -2.5225E-02 -1.1597E+00
  2.2000E+01  4.0000E+01  3.4157E-03  1.8234E-02  2.1734E+00 -8.7479E-03  1.2061E-01  1.1209E-02  1.0441E-02 -3.8712E-02
  2.3000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8664E+01  0.0000E+00  2.2458E+01  0.0000E+00  0.0000E+00
  2.3000E+01  4.0000E-01  1.0916E+01  2.9259E+00  8.3263E-01  1.1864E+01  5.3399E-01  1.0477E+01  3.3654E+00  9.5619E-01
  2.3000E+01  2.0000E+00  1.4761E+00 -9.4395E-01 -8.1910E-01  1.2389E+00 -1.1633E+00  1.6415E+00 -1.1093E+00 -1.1384E+00
  2.3000E+01  1.0000E+01  2.2799E-01 -1.6038E-01 -7.9402E-01  1.8901E-01 -1.9225E+00  2.5285E-01 -1.8525E-01 -5.6687E-01
  2.3000E+01  4.0000E+01  3.4157E-03  1.3358E-02  1.5534E+00  1.1531E-02  1.2183E+00  1.4309E-02  2.4650E-03  8.2119E-01
  2.3000E+01  7.0000E+01  5.1174E-05  2.9970E-03  3.3037E+01 -2.5737E-03  6.0708E-01  1.6903E-03  1.3579E-03  4.0655E-01
  2.4000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9034E+01  0.0000E+00  2.1465E+01  0.0000E+00  0.0000E+00
  2.4000E+01  1.0000E-01  1.7136E+01 -5.2935E+00 -6.0646E-01  1.6836E+01 -8.1468E-01  1.7491E+01 -5.6478E+00 -6.5214E-01
  2.4000E+01  4.0000E-01  1.0916E+01 -3.9352E+00 -1.2940E+00  1.1617E+01 -1.4034E+00  1.0181E+01 -3.2001E+00 -1.2345E+00
  2.4000E+01  7.0000E-01  7.0535E+00  3.7275E+00  1.5953E+00  7.9824E+00  1.6447E+00  6.4361E+00  4.3449E+00  1.9891E+00
  2.4000E+01  4.0000E+00  5.5991E-01  8.2939E-01  1.4236E+00  2.8319E-01  7.8671E-01  6.8794E-01  7.0136E-01  8.1215E-01
  2.4000E+01  2.0000E+01  5.6203E-02  5.8087E-02 -8.4515E-02  2.5863E-02 -3.9646E-01  8.2192E-02  3.2098E-02 -6.8505E-01
  2.5000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9853E+01  0.0000E+00  2.1625E+01  0.0000E+00  0.0000E+00
  2.5000E+01  2.0000E-01  1.4726E+01  8.4308E-01  1.3483E-01  1.5327E+01  4.3906E-02  1.4886E+01  6.8290E-01  9.6433E-02
  2.5000E+01  1.0000E+00  4.6506E+00  2.4925E+00  5.2501E-01  5.4810E+00  3.8761E-01  4.6399E+00  2.5032E+00  7.2656E-01
  2.5000E+01  4.0000E+00  5.5991E-01  1.6476E+00  2.7585E+00  1.1808E-01  1.5044E+00  7.6781E-01  1.4397E+00  1.5306E+00
  2.5000E+01  7.0000E+00  3.4727E-01  1.1378E+00  3.3563E+00 -1.0715E-01  1.4740E+00  4.3655E-01  1.0485E+00  2.2618E+00
